Games
"roll7, 2015"
Ni no Kuni II: Revenant Kingdom
"Level 5/Bandai Namco Games, 2018"
Ratchet & Clank
"Insomniac Games/SCEA, 2016"
MLB The Show 16
"SCEA San Diego Studios/SCEA, 2016"
Final Fantasy XII: The Zodiac Age
"Square Enix, 2017"
NBA 2K17
"Visual Concepts/2K Games, 2016"
Final Fantasy XIV Online: A Realm Reborn
"Square Enix, 2014"
Destiny: The Taken King
"Bungie/Activision, 2015"
Moss
"Polyarc/Sony Interactive Entertainment, 2018"
Pyre
"Supergiant Games, 2017"
DOOM
"id Software/Bethesda Softworks, 2016"
Yakuza 0
"Ryu ga Gotoku Studios/Sega, 2017"
Tomb Raider: Definitive Edition
"Nixxes Software/Square Enix, 2014"
Ys VIII: Lacrimosa of DANA
"Falcom, 2017"
Uncharted: The Lost Legacy
"Naughty Dog/Sony Interactive Entertainment, 2017"
Resogun
"XDEV/SCEA, 2013"
Thumper
"Drool, 2016"
MLB The Show 17
"Sony Interactive Entertainment, 2017"
The Witness
"Thekla, Inc, 2016"
Yakuza Kiwami 2
"Ryu ga Gotoku Studios/Sega, 2018"
DiRT 4
"Codemasters, 2017"
Dark Souls Remastered
"From Software/Bandai Namco Games, 2018"
Guilty Gear Xrd: Rev 2
"Arc System Works/PQube, 2017"
Destiny 2
"Bungie/Activision, 2017"
DiRT Rally
"Codemasters, 2016"
Pro Evolution Soccer 2017
"Konami, 2016"
Valkyria Chronicles 4
"Sega, 2018"
Axiom Verge
"Tom Happ, 2015"
Hitman
"Io Interactive/Square Enix, 2016"
N++
"Metanet Software Inc., 2015"
Yakuza 6: The Song of Life
"Ryu ga Gotoku Studios/Sega, 2018"
NBA 2K16
"Visual Concepts/2K Games, 2015"
Transistor
"Supergiant Games, 2014"
Salt and Sanctuary
"Ska Studios, 2016"
SoulCalibur VI
"Project Soul/Bandai Namco Games, 2018"
FIFA 17
"EA Vancouver/Electronic Arts, 2016"
Mortal Kombat X
"NetherRealm Studios/Warner Bros. Interactive Entertainment, 2015"
Borderlands: The Handsome Collection
"Iron Galaxy Studios/2K Games, 2015"
DmC: Devil May Cry Definitive Edition
"QLOC/Capcom, 2015"
Madden NFL 16
"EA Sports, 2015"
Call of Duty: Black Ops 4
"Treyarch/Activision, 2018"
Far Cry 4
"Ubisoft Montreal/Ubisoft, 2014"
Deus Ex: Mankind Divided
"Eidos Montreal/Square Enix, 2016"
Dragon Quest Builders
"Square Enix, 2016"
Destiny 2: Forsaken
"Bungie/Activision, 2018"
Horizon Zero Dawn: The Frozen Wilds
"Guerrilla/Sony Interactive Entertainment, 2017"
Call of Duty: Advanced Warfare
"Sledgehammer Games/Activision, 2014"
Child of Light
"Ubisoft Montreal/Ubisoft, 2014"
BioShock: The Collection
"2K Games, 2016"
Pro Evolution Soccer 2015
"Konami, 2014"
Spyro Reignited Trilogy
"Toys for Bob/Activision, 2018"
FIFA 18
"EA Vancouver/Electronic Arts, 2017"
Call of Duty: Black Ops III
"Treyarch/Activision, 2015"
Watch Dogs 2
"Ubisoft Montreal/Ubisoft, 2016"
Resident Evil HD Remaster
"Capcom, 2015"
Hitman 2
"Io Interactive/Warner Bros. Interactive Entertainment, 2018"
Madden NFL 18
"Electronic Arts, 2017"
Assassin's Creed Origins
"Ubisoft Montreal/Ubisoft, 2017"
Mega Man 11
"Capcom, 2018"
FIFA 19
"EA Sports/Electronic Arts, 2018"
Project CARS
"Slightly Mad Studios/Bandai Namco Games, 2015"
Dishonored: Death of the Outsider
"Arkane Studios/Bethesda Softworks, 2017"
Enter the Gungeon
"Dodge Roll/Devolver Digital, 2016"
Pro Evolution Soccer 2018
"Konami, 2017"
The Vanishing of Ethan Carter
"The Astronauts, 2015"
FIFA 15
"EA Sports/Electronic Arts, 2014"
MLB The Show 18
"Sony Interactive Entertainment, 2018"
Madden NFL 17
"EA Sports, 2016"
Madden NFL 15
"EA Sports/Electronic Arts, 2014"
The Last Guardian
"SCE Japan Studio/Sony Interactive Entertainment, 2016"
Far Cry 5
"Ubisoft Montreal/Ubisoft, 2018"
Hellblade: Senua's Sacrifice
"Ninja Theory, 2017"
Danganronpa V3: Killing Harmony
"Spike Chunsoft, 2017"
F1 2016
"Codemasters, 2016"
Guitar Hero Live
"FreeStyleGames/Activision, 2015"
Galak-Z: The Dimensional
"17-Bit, 2015"
Disgaea 5: Alliance of Vengeance
"Nippon Ichi Software/NIS America, 2015"
Helldivers
"Arrowhead Game Studios/SCEA, 2015"
FIFA 16
"EA Sports, 2015"
Tearaway Unfolded
"Media Molecule/SCEA, 2015"
Wonder Boy: The Dragon's Trap
"Lizardcube/DotEmu, 2017"
NBA 2K15
"Visual Concepts/2K Sports, 2014"
MLB 15: The Show
"SCEA San Diego Studios/SCEA, 2015"
Skylanders Imaginators
"Toys for Bob/Activision, 2016"
Final Fantasy XV
"Square Enix, 2016"
Middle-earth: Shadow of War
"Monolith Productions/Warner Bros. Interactive Entertainment, 2017"
Valiant Hearts: The Great War
"Ubisoft Montpellier/Ubisoft, 2014"
Skylanders SuperChargers
"Vicarious Visions/Activision, 2015"
Sportsfriends
"Die Gute Fabrik, 2014"
Watch Dogs
"Ubisoft Montreal/Ubisoft, 2014"
Moonlighter
"Digital Sun/11 bit studios, 2018"
Wolfenstein: The New Order
"MachineGames/Bethesda Softworks, 2014"
South Park: The Fractured But Whole
"Ubisoft San Francisco/Ubisoft, 2017"
Call of Duty: WWII
"Sledgehammer Games/Activision, 2017"
Tekken 7
"Bandai Namco Games, 2017"
The Elder Scrolls V: Skyrim Special Edition
"Bethesda Game Studios/Bethesda Softworks, 2016"
NHL 17
"EA Vancouver/Electronic Arts, 2016"
Shantae: Half-Genie Hero
"WayForward/XSEED Games, 2016"
LittleBigPlanet 3
"Sumo Digital/SCEA, 2014"
NBA 2K19
"Visual Concepts/2K Games, 2018"
Need for Speed: Rivals
"Ghost Games/Electronic Arts, 2013"
inFamous: Second Son
"Sucker Punch/SCEA, 2014"
Tales of Berseria
"Bandai Namco Games, 2017"
Gravity Rush Remastered
"Bluepoint Games/SCE Australia, 2016"
Trackmania Turbo
"Nadeo/Ubisoft, 2016"
God of War III Remastered
"Wholesale Algorithms/SCEA, 2015"
Until Dawn
"SuperMassive Games/SCEA, 2015"
Hatsune Miku: Project Diva X
"Sega, 2016"
SOMA
"Frictional Games, 2015"
Gravity Rush 2
"SCE Japan Studio/Sony Interactive Entertainment, 2017"
Dishonored: Definitive Edition
"Arkane Studios/Bethesda Softworks, 2015"
RiME
"Tequila Works, 2017"
Don't Starve: Console Edition
"Klei Entertainment, 2014"
Tom Clancy's The Division
"Massive Entertainment/Ubisoft, 2016"
Dragon's Crown Pro
"Vanillaware/Atlus, 2018"
Everybody's Gone to the Rapture
"The Chinese Room/SCEE, 2015"
Yakuza Kiwami
"Ryu ga Gotoku Studios/Sega, 2017"
LEGO Dimensions
"Traveller's Tales/Warner Bros. Interactive Entertainment, 2015"
Alien: Isolation
"Creative Assembly/Sega, 2014"
Unravel
"Coldwood Interactive/Electronic Arts, 2016"
Project CARS 2
"Slightly Mad Studios/Bandai Namco Games, 2017"
NHL 16
"EA Canada/EA Sports, 2015"
ABZU
"Giant Squid/505 Games, 2016"
Alienation
"Housemarque/SCEA, 2016"
EA Sports UFC 2
"EA Sports, 2016"
World of Final Fantasy
"Square Enix, 2016"
Samurai Warriors 4
"Omega Force/Koei Tecmo Games, 2014"
Naruto Shippuden: Ultimate Ninja Storm 4
"CyberConnect2/Bandai Namco Games, 2016"
RIGS: Mechanized Combat League
"Guerilla Cambridge/Sony Interactive Entertainment, 2016"
Headlander
"Double Fine Productions/Adult Swim, 2016"
The King of Fighters XIV
"SNK Corporation/Deep Silver, 2016"
The Disney Afternoon Collection
"Capcom, 2017"
Rock Band 4
"Harmonix Music Systems/Mad Catz, 2015"
Everybody's Golf
"Clap Hanz/Sony Interactive Entertainment, 2017"
Transformers: Devastation
"PlatinumGames/Activision, 2015"
Sniper Elite 4
"Rebellion, 2017"
Call of Duty: Ghosts
"Infinity Ward/Activision, 2013"
EVERYTHING
"David OReilly, 2017"
Trials Fusion
"RedLynx/Ubisoft, 2014"
Grim Fandango Remastered
"Double Fine Productions, 2015"
Unravel Two
"Coldwood Interactive/Electronic Arts, 2018"
ONRUSH
"Codemasters, 2018"
LEGO Star Wars: The Force Awakens
"TT Games/Warner Bros. Interactive Entertainment, 2016"
Dragon Quest Heroes: The World Tree's Woe and the Blight Below
"Omega Force/Square Enix, 2015"
Star Trek: Bridge Crew
"Red Storm Entertainment/Ubisoft, 2017"
Skylanders Trap Team
"Toys for Bob/Activision, 2014"
Hitman GO: Definitive Edition
"Square Enix Montreal/Square Enix, 2016"
Hue
"Fiddlesticks Games/Curve Digital, 2016"
For Honor
"Ubisoft Montreal/Ubisoft, 2017"
Just Cause 3
"Avalanche Studios/Square Enix, 2015"
Call of Duty: Infinite Warfare
"Infinity Ward/Activision, 2016"
Assassin's Creed Syndicate
"Ubisoft Quebec/Ubisoft, 2015"
Toukiden 2
"Koei Tecmo Games, 2017"
Grand Kingdom
"Spike Chunsoft/NIS America, 2016"
Street Fighter V
"Capcom, 2016"
WWE 2K19
"Yuke's/2K Games, 2018"
Kingdom Hearts HD 2.8 Final Chapter Prologue
"Square Enix, 2017"
Klaus
"La Cosa Entertainment, 2016"
Detroit: Become Human
"Quantic Dream/Sony Interactive Entertainment, 2018"
Dragon Quest Heroes II
"Omega Force/Square Enix, 2017"
Prey
"Arkane Studios/Bethesda Softworks, 2017"
Toukiden: Kiwami
"Koei Tecmo Games, 2015"
Wolfenstein: The Old Blood
"MachineGames/Bethesda Softworks, 2015"
A Way Out
"Hazelight/Electronic Arts, 2018"
Strider
"Double Helix Games/Capcom, 2014"
Destiny
"Bungie/Activision, 2014"
Killzone: Shadow Fall - Intercept
"Guerrilla/SCEA, 2014"
Far Cry Primal
"Ubisoft Montreal/Ubisoft, 2016"
Furi
"The Game Bakers, 2016"
Killing Floor 2
"Tripwire Interactive, 2016"
NBA 2K18
"Visual Concepts/2K Games, 2017"
Battle Chasers: Nightwar
"Airship Syndicate Entertainment/THQ Nordic, 2017"
Batman: Arkham VR
"Rocksteady Studios/Warner Bros. Interactive Entertainment, 2016"
I Am Setsuna
"Tokyo RPG Factory/Square Enix, 2016"
Atelier Sophie: The Alchemist of the Mysterious Book
"Gust/Koei Tecmo Games, 2016"
Digimon Story Cyber Sleuth
"Media Vision/Bandai Namco Games, 2016"
Firewatch
"Campo Santo/Panic Inc., 2016"
Layers of Fear
"Bloober Team/Aspyr, 2016"
The Evil Within 2
"Tango Gameworks/Bethesda Softworks, 2017"
Stories: The Path of Destinies
"Spearhead Games, 2016"
Attack on Titan 2
"Omega Force/Koei Tecmo Games, 2018"
EA Sports UFC 3
"EA Sports/Electronic Arts, 2018"
GNOG
"KO-OP, 2017"
LEGO DC Super-Villains
"TT Games/Warner Bros. Interactive Entertainment, 2018"
Pro Evolution Soccer 2019
"Konami, 2018"
Lumo
"Triple Eh? Ltd/Rising Star Games, 2016"
The Evil Within
"Tango Gameworks/Bethesda Softworks, 2014"
Not a Hero
"roll7/Devolver Digital, 2016"
Let It Die
"Grasshopper Manufacture/GungHo, 2016"
Metal Gear Solid V: Ground Zeroes
"Kojima Productions/Konami, 2014"
Dead or Alive 5: Last Round
"Team Ninja/Koei Tecmo Games, 2015"
Atelier Firis: The Alchemist and the Mysterious Journey
"Koei Tecmo Games, 2017"
Dying Light
"Techland/Warner Bros. Interactive Entertainment, 2015"
One Piece: Pirate Warriors 3
"Omega Force/Bandai Namco Games, 2015"
Sherlock Holmes: Crimes & Punishments
"Frogwares/Focus Home Interactive, 2014"
Gran Turismo Sport
"Polyphony Digital/Sony Interactive Entertainment, 2017"
Attack on Titan
"Omega Force/Koei Tecmo Games, 2016"
inFamous: First Light
"Sucker Punch/SCEA, 2014"
The Elder Scrolls V: Skyrim VR
"Bethesda Softworks, 2017"
Mega Man Legacy Collection 2
"Capcom, 2017"
Earth Defense Force 5
"Sandlot/D3Publisher, 2018"
Samurai Warriors 4-II
"Omega Force/Koei Tecmo Games, 2015"
Tom Clancy's Rainbow Six Siege
"Ubisoft Montreal/Ubisoft, 2015"
Evolve
"Turtle Rock Studios/2K Games, 2015"
Bulletstorm: Full Clip Edition
"People Can Fly/Maximum Games, 2017"
Star Wars Battlefront
"EA DICE/Electronic Arts, 2015"
Hohokum
"Honeyslug Ltd/SCEA, 2014"
LEGO Batman 3: Beyond Gotham
"TT Games/Warner Bros. Interactive Entertainment, 2014"
Little Nightmares
"Tarsier Studios/Bandai Namco Games, 2017"
Strange Brigade
"Rebellion, 2018"
Tales of Zestiria
"Bandai Namco Games, 2015"
Amplitude
"Harmonix Music Systems, 2016"
Samurai Warriors: Spirit of Sanada
"Omega Force/Koei Tecmo Games, 2017"
Titan Souls
"Acid Nerve/Devolver Digital, 2015"
Killzone: Shadow Fall
"Guerrilla/SCEA, 2013"
Until Dawn: Rush of Blood
"SuperMassive Games/Sony Interactive Entertainment, 2016"
Dead Rising 4: Frank's Big Package
"Capcom Vancouver/Capcom, 2017"
Disney Infinity 2.0 Edition
"Avalanche Software/Disney Interactive Studios, 2014"
Battlefield Hardline
"Visceral Games/Electronic Arts, 2015"
LEGO The Hobbit
"TT Games/Warner Bros. Interactive Entertainment, 2014"
Never Alone
"Upper One Games/E-Line Media, 2014"
WWE 2K16
"Yuke's/2K Sports, 2015"
Republique
"Camouflaj, LLC/GungHo, 2016"
DOOM VFR
"id Software/Bethesda Softworks, 2017"
Matterfall
"Housemarque/Sony Interactive Entertainment, 2017"
LEGO Marvel Super Heroes 2
"TT Games/Warner Bros. Interactive Entertainment, 2017"
Digimon Story Cyber Sleuth: Hacker's Memory
"Media Vision/Bandai Namco Games, 2018"
Tembo the Badass Elephant
"Game Freak/Sega, 2015"
The Surge
"Deck 13/Focus Home Interactive, 2017"
Dynasty Warriors 8: Xtreme Legends Complete Edition
"Omega Force/Koei Tecmo Games, 2014"
Destiny: Rise of Iron
"Bungie/Activision, 2016"
Road Not Taken
"Spry Fox, 2014"
Knack 2
"SCE Japan Studio/Sony Interactive Entertainment, 2017"
Dragon Ball: Xenoverse 2
"Dimps Corporation/Bandai Namco Games, 2016"
LEGO Marvel's Avengers
"TT Games/Warner Bros. Interactive Entertainment, 2016"
Deception IV: The Nightmare Princess
"Koei Tecmo Games, 2015"
Tom Clancy's Ghost Recon: Wildlands
"Ubisoft Paris/Ubisoft, 2017"
Bound
"Plastic Studios/Sony Interactive Entertainment, 2016"
Aragami
"Lince Works, 2016"
Megadimension Neptunia VII
"Compile Heart/Idea Factory, 2016"
LEGO Jurassic World
"TT Games/Warner Bros. Interactive Entertainment, 2015"
No Man's Sky
"Hello Games, 2016"
Arslan: The Warriors of Legend
"Omega Force/Koei Tecmo Games, 2016"
Driveclub
"Evolution Studios/SCEA, 2014"
Psychonauts in The Rhombus of Ruin
"Double Fine Productions, 2017"
Fe
"Zoink!/Electronic Arts, 2018"
Song of the Deep
"Insomniac Games/GameTrust, 2016"
Marvel vs. Capcom: Infinite
"Capcom, 2017"
Dragon Ball: Xenoverse
"Dimps Corporation/Bandai Namco Games, 2015"
Samurai Warriors 4 Empires
"Omega Force/Koei Tecmo Games, 2016"
Resident Evil 0: HD Remaster
"Capcom, 2016"
Mass Effect: Andromeda
"BioWare/Electronic Arts, 2017"
God Eater 2: Rage Burst
"Shift/Bandai Namco Games, 2016"
EA Sports UFC
"EA Sports/Electronic Arts, 2014"
Mirror's Edge Catalyst
"EA DICE/Electronic Arts, 2016"
Steep
"Ubisoft Annecy/Ubisoft, 2016"
Blue Reflection
"Gust/Koei Tecmo Games, 2017"
Get Even
"The Farm 51/Bandai Namco Games, 2017"
Lost Sphear
"Tokyo RPG Factory/Square Enix, 2018"
Vampyr
"DONTNOD Entertainment/Focus Home Interactive, 2018"
Just Cause 4
"Avalanche Studios/Square Enix, 2018"
Warriors All-Stars
"Omega Force/Koei Tecmo Games, 2017"
Nitroplus Blasterz: Heroines Infinite Duel
"Examu/Marvelous Inc., 2016"
Mad Max
"Avalanche Studios/Warner Bros. Interactive Entertainment, 2015"
Deracine
"From Software/Sony Interactive Entertainment, 2018"
WWE 2K17
"Yuke's/2K Games, 2016"
Battleborn
"Gearbox Software/2K Games, 2016"
Dynasty Warriors: Godseekers
"Omega Force/Koei Tecmo Games, 2017"
Lords of the Fallen
"Deck 13/City Interactive, 2014"
Outlast 2
"Red Barrels, 2017"
Hidden Agenda
"SuperMassive Games/Sony Interactive Entertainment, 2017"
Farpoint
"Impulse Gear/Sony Interactive Entertainment, 2017"
Gundam Versus
"Bandai Namco Games, 2017"
Nights of Azure
"Gust/Koei Tecmo Games, 2016"
Super Motherload
"XGenStudios, 2013"
Assassin's Creed Chronicles: China
"Climax Studios/Ubisoft, 2015"
Assassin's Creed Unity
"Ubisoft Montreal/Ubisoft, 2014"
Sniper Elite III
"Rebellion/505 Games, 2014"
Dear Esther: Landmark Edition
"The Chinese Room/Limited Run Games, 2016"
Citizens of Earth
"Eden Industries/Atlus, 2015"
Battlezone
"Rebellion/Sony Interactive Entertainment, 2016"
Berserk and the Band of the Hawk
"Omega Force/Koei Tecmo Games, 2017"
The Last Tinker: City of Colors
"LOOT Entertainment, 2014"
Senran Kagura: Estival Versus
"Marvelous Inc., 2016"
Yooka-Laylee
"Playtonic Games/Team 17, 2017"
Mafia III
"Hangar 13/2K Games, 2016"
Yonder: The Cloud Catcher Chronicles
"Prideful Sloth, 2017"
Thief
"Eidos Montreal/Square Enix, 2014"
CounterSpy
"Dynamighty/SCEA, 2014"
Need for Speed
"Ghost Games/Electronic Arts, 2015"
Whispering Willows
"LOOT Interactive, 2015"
Tiny Brains
"Spearhead Games/505 Games, 2013"
Fat Princess Adventures
"Fun Bits/SCEI, 2015"
Shiness: The Lightning Kingdom
"Enigami/Focus Home Interactive, 2017"
Nights of Azure 2: Bride of the New Moon
"Gust/Koei Tecmo Games, 2017"
White Night
"OSome Studio/Activision, 2015"
Earth Defense Force 4.1: The Shadow of New Despair
"Sandlot/D3Publisher, 2015"
Shadow of the Beast
"Heavy Spectrum/Sony Interactive Entertainment, 2016"
Star Wars Battlefront II
"EA DICE/Electronic Arts, 2017"
Dissidia: Final Fantasy NT
"Team Ninja/Square Enix, 2018"
Saints Row: Gat Out of Hell
"Volition Inc./Deep Silver, 2015"
F1 2015
"Codemasters/Ubisoft, 2015"
Dynasty Warriors 9
"Omega Force/Tecmo Koei Games, 2018"
One Piece: Burning Blood
"Spike Chunsoft/Bandai Namco Games, 2016"
Call of Cthulhu
"Cyanide/Focus Home Interactive, 2018"
RIDE
"Milestone S.r.l, 2015"
Sword Art Online Re: Hollow Fragment
"Aquria/Bandai Namco Games, 2015"
The Crew 2
"Ubisoft Ivory Tower/Ubisoft, 2018"
Robinson: The Journey
"Crytek, 2016"
Entwined
"Pixel Opus/SCEA, 2014"
Rory McIlroy PGA Tour
"EA Tiburon/EA Sports, 2015"
JoJo's Bizarre Adventure: Eyes of Heaven
"CyberConnect2/Bandai Namco Games, 2016"
WWE 2K18
"Yuke's/2K Games, 2017"
Agents of Mayhem
"Volition Inc./Square Enix, 2017"
Assassin's Creed Chronicles: India
"Climax Studios/Ubisoft, 2016"
Destiny: The Dark Below
"Bungie/Activision, 2014"
The Order: 1886
"Ready at Dawn/SCEA, 2015"
J-Stars Victory Vs+
"Spike Chunsoft/Bandai Namco Games, 2015"
Sword Art Online: Lost Song
"Artdink/Bandai Namco Games, 2015"
Metal Gear Survive
"Konami, 2018"
Sword Art Online: Fatal Bullet
"Dimps Corporation/Bandai Namco Games, 2018"
Dead Island: Definitive Collection
"Techland/Deep Silver, 2016"
Darksiders III
"Gunfire Games/THQ Nordic, 2018"
Toren
"Swordtales/Versus Evil, 2015"
Murdered: Soul Suspect
"Airtight Games/Square Enix, 2014"
WWE 2K15
"Yuke's/2K Sports, 2014"
Secret of Mana
"Q Studios/Square Enix, 2018"
Submerged
"Uppercut Games/Uppercut Games Pty Ltd, 2015"
The Technomancer
"Spiders/Focus Home Interactive, 2016"
Need for Speed Payback
"Ghost Games/Electronic Arts, 2017"
NHL 15
"EA Sports/Electronic Arts, 2014"
Touhou: Scarlet Curiosity
"Mediascape/XSEED Games, 2016"
Sonic Forces
"Sonic Team/Sega, 2017"
The Crew
"Ivory Tower/Ubisoft, 2014"
Valkyria Revolution
"Media Vision/Sega, 2017"
Contrast
"Compulsion Games/Focus Home Interactive, 2013"
Star Ocean: Integrity and Faithlessness
"Tri-Ace/Square Enix, 2016"
Knack
"SCE Japan Studio/SCEA, 2013"
The Inpatient
"SuperMassive Games/Sony Interactive Entertainment, 2018"
Omega Quintet
"Compile Heart, 2015"
Onechanbara Z2: Chaos
"Tamsoft/D3Publisher, 2015"
Bound by Flame
"Spiders/Focus Home Interactive, 2014"
Bladestorm: Nightmare
"Omega Force/Koei Tecmo Games, 2015"
Schrodinger's Cat and the Raiders of the Lost Quark
"Italic Pig/Team 17, 2015"
Natural Doctrine
"Kadokawa, 2014"
Little Witch Academia: Chamber of Time
"Bandai Namco Games, 2018"
Akiba's Beat
"Acquire/XSEED Games, 2017"
PlayStation VR WORLDS
"SCEE London Studio/Sony Interactive Entertainment, 2016"
Blue Estate
"HeSaw/Focus Home Interactive, 2014"
The Tomorrow Children
"Q-Games/Sony Interactive Entertainment, 2016"
Bedlam: The Game by Christopher Brookmyre
"Standfast Interactive/Vision Games Publishing LTD, 2015"
Sniper: Ghost Warrior 3
"City Interactive, 2017"
Koi
"Oasis Games, 2016"
Trials of the Blood Dragon
"RedLynx/Ubisoft, 2016"
Fallout 76
"Bethesda Game Studios/Bethesda Softworks, 2018"
Mighty No. 9
"Inti Creates/Deep Silver, 2016"
The Amazing Spider-Man 2
"Beenox/Activision, 2014"
Teenage Mutant Ninja Turtles: Mutants in Manhattan
"PlatinumGames/Activision, 2016"
Daylight
"Zombie Studios/Atlus, 2014"
NBA Live 14
"EA Sports/Electronic Arts, 2013"
Homefront: The Revolution
"Deep Silver Dambuster Studios/Deep Silver, 2016"
Transformers: Rise of the Dark Spark
"Edge of Reality/Activision, 2014"
Extinction
"Iron Galaxy Studios/Modus Games, 2018"
Godzilla
"NATSUME ATARI Inc./Bandai Namco Games, 2015"
Umbrella Corps
"Capcom, 2016"
Ghostbusters
"FireForge Games/Activision, 2016"
Tony Hawk's Pro Skater 5
"Robomodo/Activision, 2015"
1-2-Switch
"Nintendo, 2017"
Super Bomberman R
"Konami, 2017"
Ultra Street Fighter II: The Final Challengers
"Capcom, 2017"
